id,japaneseName,family,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
1,アトリ,アトリ科,/写真保管フォルダ/アトリ_1_20260305_京都御苑.jpg,2026/3/5,京都御苑,35.0253,135.7621,京都府,日本,成鳥メス,バードパス,アトリ
2,ジョウビタキ,ヒタキ科,/写真保管フォルダ/ジョウビタキ_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,成鳥メス,,ジョウビタキ
3,アオジ,ホオジロ科,/写真保管フォルダ/アオジ_1_20260207_山田池公園.jpg,2026/2/7,山田池公園,34.822314,135.690838,大阪府,日本,成鳥オス,,アオジ
4,アカゲラ,キツツキ科,/写真保管フォルダ/アカゲラ_1_20260212_円山公園.jpg,2026/2/12,円山公園,43.055,141.3144,北海道,日本,,,アカゲラ
5,アメリカヒドリ,カモ科,/写真保管フォルダ/アメリカヒドリ_1_20251214_鴨川.jpg,2025/12/14,鴨川,35.03082641,135.7717346,京都府,日本,成鳥オス,,アメリカヒドリ
6,アリスイ,キツツキ科,/写真保管フォルダ/アリスイ_1_20260112_鵜殿.jpg,2026/1/12,鵜殿,34.85385666,135.6568714,大阪府,日本,,,アリスイ
7,アリスイ,キツツキ科,/写真保管フォルダ/アリスイ_2_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,アリスイ
8,イソシギ,シギ科,/写真保管フォルダ/イソシギ_1_20260305_鴨川.jpg,2026/3/5,鴨川,35.03082641,135.7717346,京都府,日本,,,イソシギ
9,イソヒヨドリ,ヒタキ科,/写真保管フォルダ/イソヒヨドリ_1_20260313_宇治川.jpg,2026/3/13,宇治川,34.86960007,135.8352196,京都府,日本,成鳥メス,,イソヒヨドリ
10,ウグイス,ウグイス科,/写真保管フォルダ/ウグイス_1_20260305_京都府立植物園.jpg,2026/3/5,京都府立植物園,35.04891234,135.7629938,京都府,日本,,,ウグイス
11,オオジュリン,ホオジロ科,/写真保管フォルダ/オオジュリン_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,オオジュリン
12,オオセグロカモメ,カモメ科,/写真保管フォルダ/オオセグロカモメ_1_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,オオセグロカモメ
13,オオハクチョウ,カモ科,/写真保管フォルダ/オオハクチョウ_1_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,オオハクチョウ
14,オオワシ,タカ科,/写真保管フォルダ/オオワシ_1_20260213_網走.jpg,2026/2/13,網走港,44.0206,144.2733,北海道,日本,,,オオワシ
15,オオワシ,タカ科,/写真保管フォルダ/オオワシ_2_20260212_根室.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,オオワシ
16,オジロワシ,タカ科,/写真保管フォルダ/オジロワシ_1_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,オジロワシ
17,カシラダカ,アトリ科,/写真保管フォルダ/カシラダカ_1_20260112_鵜殿.jpg,2026/1/12,鵜殿,34.85385666,135.6568714,大阪府,日本,,,カシラダカ
18,カワアイサ,カモ科,/写真保管フォルダ/カワアイサ_1_20251214_鴨川.jpg,2025/12/14,鴨川,35.03082641,135.7717346,京都府,日本,成鳥オス,,カワアイサ
19,カワアイサ,カモ科,/写真保管フォルダ/カワアイサ_2_20251214_鴨川.jpg,2025/12/14,鴨川,35.03082641,135.7717346,京都府,日本,成鳥メス,,カワアイサ
20,カンムリカイツブリ,カイツブリ科,/写真保管フォルダ/カンムリカイツブリ_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,カンムリカイツブリ
21,キンクロハジロ,カモ科,/写真保管フォルダ/キンクロハジロ_1_20260313_宇治川.jpg,2026/3/13,宇治川,34.86960007,135.8352196,京都府,日本,,,キンクロハジロ
22,クロガモ,カモ科,/写真保管フォルダ/クロガモ_1_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,クロガモ
23,クロガモ,カモ科,/写真保管フォルダ/クロガモ_2_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,クロガモ
24,コオリガモ,カモ科,/写真保管フォルダ/コオリガモ_1_20260212_野付半島.jpg,2026/2/12,野付半島,43.3612,145.1734,北海道,日本,,,コオリガモ
25,コガモ,カモ科,/写真保管フォルダ/コガモ_1_20260223_平城宮跡.jpg,2026/2/23,平城宮跡,34.69103165,135.795792,奈良県,日本,,,コガモ
